sessions_removed,percent_removed,MRR@20,method
0,0.0,0.3196496822501806,Shapley
101,0.009284904947752692,0.3219593752765971,Shapley
203,0.0180268790129674,0.32309636119285307,Shapley
304,0.024604998111544707,0.32308850313142906,Shapley
406,0.031316882789877876,0.3235406843318768,Shapley
507,0.03761173360191361,0.3238768524732225,Shapley
609,0.043143333752990065,0.32409112183960775,Shapley
710,0.04924933904066475,0.3247751710202089,Shapley
812,0.05505633891476769,0.3249733419249676,Shapley
914,0.060564333375298984,0.32530500377028104,Shapley
1015,0.06582840236686394,0.32630644145743837,Shapley
1117,0.07062035754752616,0.32669406610985974,Shapley
1218,0.07625424902429812,0.3261493719040784,Shapley
1320,0.08062917033866301,0.326060423750026,Shapley
1421,0.08454771496915525,0.32715737115782456,Shapley
1523,0.08953638423769361,0.32794267673862554,Shapley
1625,0.09458800201435225,0.3282736361737984,Shapley
1726,0.0986639179151454,0.32839431864315016,Shapley
1828,0.10300736497545004,0.328683024018363,Shapley
1929,0.10684722397079194,0.3286409319629529,Shapley
2031,0.11099395694322045,0.3287792062957346,Shapley
2132,0.11418859373032864,0.3287032592018035,Shapley
2234,0.118846783331235,0.32916046833122603,Shapley
2336,0.12301712199420878,0.32947402753718535,Shapley
2437,0.1272661462923329,0.3296188101449312,Shapley
2539,0.13144435351882156,0.3303821076131792,Shapley
2640,0.13566977212640063,0.3304349028383755,Shapley
2742,0.13949389399471235,0.3309679406243313,Shapley
2843,0.14363275840362588,0.33074447692312997,Shapley
2945,0.1477794913760544,0.3307287933163748,Shapley
3046,0.15059643711444037,0.3306568990726411,Shapley
3148,0.15551428931134337,0.3310286011261633,Shapley
3250,0.15967675941080195,0.33114471626415054,Shapley
3351,0.16345366989802346,0.331099584494111,Shapley
3453,0.1668292836459776,0.33098018862686457,Shapley
3554,0.17121207352385748,0.331040195713506,Shapley
3656,0.17561846909228251,0.3313193646164681,Shapley
3757,0.17954488228628984,0.3312838251077998,Shapley
3859,0.18310147299509005,0.331351037561755,Shapley
3961,0.18662658944983002,0.330980729990448,Shapley
4062,0.19011236308699486,0.331147342331895,Shapley
4164,0.19359026816064462,0.3313075412956394,Shapley
4265,0.19706817323429437,0.3312443187944246,Shapley
4367,0.20049099836333883,0.33089332735320587,Shapley
4468,0.20414201183431957,0.3312004217221773,Shapley
4570,0.20761204834445424,0.33129898492534104,Shapley
4672,0.2106021024801712,0.33099985509635743,Shapley
4773,0.21357641948885808,0.33095104763752237,Shapley
4875,0.21581896009064583,0.3307760208170584,Shapley
4976,0.21943849930756643,0.33074879821748776,Shapley
5078,0.223065907088002,0.3307005043939357,Shapley
5179,0.2265202064711066,0.33078633665859164,Shapley
5281,0.23048596248268916,0.3303514798703495,Shapley
5382,0.23484514667002387,0.3302326077468977,Shapley
5484,0.2388817197532418,0.3307764692134953,Shapley
5586,0.24221012212010573,0.33058199653279446,Shapley
5687,0.24548344454236437,0.3305741419042858,Shapley
5789,0.24911085232279995,0.33096052034518153,Shapley
5890,0.252816945738386,0.33114193725113966,Shapley
5992,0.25638927357421626,0.33111287389471,Shapley
6093,0.2602684753871334,0.3309933943979494,Shapley
6195,0.2637621175878132,0.33077668625045925,Shapley
6297,0.2668465944857107,0.3306762931589929,Shapley
6398,0.2702536824877251,0.3310343966532727,Shapley
6500,0.27381814176004027,0.33094793130879085,Shapley
6601,0.2766114818078812,0.33085582049229667,Shapley
6703,0.2801680725166814,0.3308207387322834,Shapley
6804,0.2826073272063452,0.3310873966572083,Shapley
6906,0.2852511645474002,0.33114160614495136,Shapley
7008,0.2883356414452978,0.3310899896013324,Shapley
7109,0.2920574719879139,0.33121441953204284,Shapley
7211,0.2953858743547778,0.331256110570059,Shapley
7312,0.2985332997607957,0.3311328989500239,Shapley
7414,0.30178301649250916,0.33119913525626127,Shapley
7515,0.3049933904066474,0.33159209446718707,Shapley
7617,0.30803852448696967,0.3312878922574556,Shapley
7718,0.3115242981241345,0.33097556713558046,Shapley
7820,0.3141051869570691,0.3311804113448643,Shapley
7922,0.31717392672793654,0.3311200374378526,Shapley
8023,0.3200066095933526,0.33125955251310163,Shapley
8125,0.32353172604809266,0.33115551717928865,Shapley
8226,0.3264903059297495,0.33133634587134736,Shapley
8328,0.3294095429938311,0.33140818204317085,Shapley
8429,0.3324546770741533,0.3315194368944017,Shapley
8531,0.33501982878005787,0.3314218426345792,Shapley
8633,0.3378682487725041,0.331621853781206,Shapley
8734,0.34059864031222464,0.33188677832323055,Shapley
8836,0.3429906836207982,0.33197032028190887,Shapley
8937,0.3455400981996727,0.3317212726785261,Shapley
9039,0.34826262117587814,0.331648645403054,Shapley
9140,0.3508356414452978,0.3320202154411757,Shapley
9242,0.35344013596877755,0.3318299668619502,Shapley
9344,0.35614692181795293,0.33212575579827086,Shapley
9445,0.35878289059549284,0.331440093734123,Shapley
9547,0.36104903688782575,0.331512099858962,Shapley
9648,0.36357484577615506,0.33177603033429726,Shapley
9750,0.366029837592849,0.33175218071974505,Shapley
9851,0.3682645096311218,0.3318245062615176,Shapley
9953,0.37060147299509005,0.3322244042077436,Shapley
10055,0.3729384363590583,0.33145413913553046,Shapley
0,0.0,0.3196590799556743,Length
101,0.03323681228754882,0.3189235873979845,Length
203,0.05382884300642077,0.3195259265385632,Length
304,0.07141508246254569,0.31962966668719345,Length
406,0.08734105501699607,0.3198456262842857,Length
507,0.10185855470225358,0.3195673072149421,Length
609,0.11568362079818706,0.31964618005061,Length
710,0.1284070880020144,0.3194624225519907,Length
812,0.14045385874354777,0.3196732507985209,Length
914,0.151768853078182,0.31991000872067676,Length
1015,0.16286352763439504,0.3201099590581072,Length
1117,0.1732972428553443,0.31997672052938275,Length
1218,0.18362866675059797,0.320642720145754,Length
1320,0.19331486843761803,0.3206805193964382,Length
1421,0.20285156741785215,0.3202471704515608,Length
1523,0.21208139242099966,0.32047169123512464,Length
1625,0.2209099206848798,0.3206323234013845,Length
1726,0.2296518947500944,0.3204543301524048,Length
1828,0.23794536069495154,0.3205663590087684,Length
1929,0.24589260984514671,0.3205518858663147,Length
2031,0.25391854463049224,0.3203830016151513,Length
2132,0.2618657937806874,0.32011542951009936,Length
2234,0.2690970036510135,0.32020049219348073,Length
2336,0.27632034495782454,0.3196018484337339,Length
2437,0.2834728691930001,0.3199747170774897,Length
2539,0.2906962104998112,0.32021832358296304,Length
2640,0.29784873473498674,0.32018944496171853,Length
2742,0.30468651642956057,0.3202079978557844,Length
2843,0.3110443157497167,0.3204114549201226,Length
2945,0.3174650635779932,0.3207682504400164,Length
3046,0.3238228628981493,0.32067547892033027,Length
3148,0.33024361072642583,0.320508265027999,Length
3250,0.3366643585547022,0.3202291750491735,Length
3351,0.34302215787485835,0.31972613633305424,Length
3453,0.3490416089638676,0.32007699188573624,Length
3554,0.3546046833690042,0.32005011576842207,Length
3656,0.3602228377187461,0.3204546057967849,Length
3757,0.3657859121238827,0.3206220993737347,Length
3859,0.37140406647362456,0.3195791940990112,Length
3961,0.37702222082336645,0.31979500025626834,Length
4062,0.38258529522850304,0.318875517988081,Length
4164,0.38820344957824504,0.31847852658618214,Length
4265,0.39376652398338163,0.3180035555091441,Length
4367,0.3993846783331235,0.3174533616750937,Length
4468,0.4046172730706282,0.31682836288812044,Length
4570,0.4094328339418356,0.3156597808098024,Length
4672,0.414248394813043,0.3159537375972035,Length
4773,0.41901674430316005,0.31611649764598776,Length
4875,0.4238323051743673,0.31606483305958544,Length
4976,0.4286006546644845,0.31537966376056464,Length
5078,0.43341621553569176,0.3153598070214916,Length
5179,0.43818456502580894,0.31557939955968417,Length
5281,0.4430001258970162,0.3149909136699554,Length
5382,0.4477684753871334,0.31483590281482926,Length
5484,0.45258403625834065,0.31405081487189046,Length
5586,0.45739959712954803,0.31471258123874596,Length
5687,0.4621679466196651,0.31454742919756723,Length
5789,0.4669835074908725,0.3142948705537425,Length
5890,0.47175185698098954,0.31417873064831325,Length
5992,0.4759694070250535,0.3138863413604666,Length
6093,0.47994303160015106,0.31414294122252584,Length
6195,0.4839559989928238,0.31328639342297426,Length
6297,0.4879689663854967,0.3135134282464152,Length
6398,0.49194259096059423,0.3131140142534897,Length
6500,0.495955558353267,0.31317802740428524,Length
6601,0.49992918292836463,0.31231895354502176,Length
6703,0.5039421503210374,0.312913579654032,Length
6804,0.5079157748961349,0.31291266964678294,Length
6906,0.5119287422888077,0.31304506851613073,Length
7008,0.5159417096814806,0.31319600295170125,Length
7109,0.5199153342565781,0.31333344459114326,Length
7211,0.5239283016492509,0.3134471805916875,Length
7312,0.5279019262243485,0.3130019218926373,Length
7414,0.5319148936170213,0.31322799211114916,Length
7515,0.5358885181921189,0.3128581724943726,Length
7617,0.5399014855847917,0.31240483396183355,Length
7718,0.5438751101598892,0.3131411322453258,Length
7820,0.5478880775525621,0.3132946092007664,Length
7922,0.5519010449452348,0.3124238091908148,Length
8023,0.5558746695203324,0.3124558236834644,Length
8125,0.5598876369130051,0.31191222702339255,Length
8226,0.5634599647488354,0.31210662790481286,Length
8328,0.5666703386629737,0.31253330903657695,Length
8429,0.5698492383230518,0.31255627956832416,Length
8531,0.57305961223719,0.31233881616159104,Length
8633,0.5762699861513283,0.31232011997837067,Length
8734,0.5794488858114062,0.31216751257015746,Length
8836,0.5826592597255444,0.31194296206560523,Length
8937,0.5858381593856226,0.3116886802054122,Length
9039,0.5890485332997608,0.3111416716129204,Length
9140,0.5922274329598389,0.31115969608475563,Length
9242,0.5954378068739771,0.3111518583431146,Length
9344,0.5986481807881153,0.31051067456710824,Length
9445,0.6018270804481933,0.3107934267969009,Length
9547,0.6050374543623316,0.3105420747346013,Length
9648,0.6082163540224097,0.3106565735636325,Length
9750,0.611426727936548,0.31019306411594094,Length
9851,0.614605627596626,0.3100534121980365,Length
9953,0.6178160015107642,0.30970533805697403,Length
10055,0.6210263754249024,0.30972904010857943,Length
